3,0,0,8,5
4,0,0,8,3
5,0,0,6,5
6,0,0,8,4
7,0,0,6,6
8,0,0,8,3
9,0,0,8,4
10,0,0,6,4
11,0,0,5,3
12,0,0,6,2
13,0,0,5,4
14,0,0,5,4
15,0,0,6,4
16,0,0,7,3
17,0,0,5,3
18,0,0,5,4
19,0,0,5,4
20,0,0,6,5
21,0,0,7,3
22,0,0,8,3
23,0,0,8,3
24,0,0,10,4
25,0,0,6,4
26,0,0,7,3
27,0,0,8,3
28,0,1,10,3
29,0,0,11,3
30,0,0,9,3
31,0,0,10,3
32,0,0,12,2
33,0,0,12,2
34,0,0,12,3
35,0,0,10,1
36,0,0,9,2
37,0,0,10,3
38,0,0,11,3
39,0,0,15,2
40,0,0,13,1
41,0,0,12,2
42,0,0,11,2
43,0,0,14,1
44,0,0,13,1
45,0,0,12,0
46,0,0,12,1
47,0,0,14,1
48,0,0,12,1
49,0,0,14,2
50,0,0,14,2
51,0,0,10,2
52,0,0,14,1
53,0,0,12,1
